Pollutant: Global radiation (RAD)
Yearly means
Unit: W/m2
Source: NABEL/MeteoSchweiz
Date/time;Bern-Bollwerk;Lausanne-César-Roux;Lugano-Università;Zürich-Kaserne;Basel-Binningen;Dübendorf-Empa;Härkingen-A1;Sion-Aéroport-A9;Magadino-Cadenazzo;Payerne;Tänikon;Beromünster;Chaumont;Rigi-Seebodenalp;Davos-Seehornwald;Jungfraujoch
2000;;145.6;137.2;128.5;130.1;127.3;131.1;152.3;142.4;135.0;132.9;;134.7;125.1;147.9;168.0
2001;137.9;131.8;146.4;123.2;127.9;123.5;131.6;153.0;152.2;129.1;124.7;;134.0;121.2;150.3;157.2
2002;137.9;136.3;139.1;124.9;125.4;125.8;133.9;150.2;142.1;129.4;123.3;;133.1;120.6;145.9;172.4
2003;158.3;155.7;151.5;141.6;145.8;147.2;153.9;160.8;159.9;147.2;140.2;;155.7;143.3;162.2;184.8
2004;138.4;142.6;149.4;131.7;130.1;127.6;137.9;154.5;148.3;135.6;122.7;;137.9;125.9;148.0;171.6
2005;146.2;146.4;152.9;133.8;133.3;133.4;142.0;158.0;152.3;136.6;131.4;;144.3;130.5;152.5;182.8
2006;139.7;138.8;150.9;130.8;131.4;129.8;137.5;160.4;152.0;134.1;132.0;;136.5;128.9;153.0;
2007;142.8;144.6;160.9;136.4;136.3;134.5;143.8;162.2;153.1;147.1;139.0;;139.0;131.1;152.5;
2008;137.9;138.6;148.8;130.0;130.9;128.9;138.3;164.6;144.6;141.1;134.7;;133.4;123.1;151.3;179.2
2009;;148.0;162.1;134.8;136.6;134.3;139.6;167.6;157.4;152.8;141.4;;142.1;129.9;153.7;179.6
2010;138.4;138.5;149.8;126.0;128.6;126.0;132.3;163.4;147.6;145.3;131.1;;138.0;119.7;144.0;182.3
2011;153.1;150.2;159.2;141.4;148.0;139.7;146.1;172.6;155.5;158.5;145.5;;160.5;138.6;154.6;189.2
2012;144.8;144.9;157.5;134.3;136.5;132.9;139.4;168.0;151.2;150.4;139.8;;146.5;128.2;152.2;180.7
2013;137.5;140.1;150.8;125.0;130.6;122.0;133.0;165.7;149.0;143.7;131.6;;136.0;120.7;147.4;187.2
2014;138.0;141.8;148.3;132.9;139.0;127.6;135.0;164.1;144.6;148.4;140.6;;141.2;129.1;142.1;181.1
2015;150.0;149.4;161.2;139.8;146.0;133.5;145.1;169.9;155.0;155.2;149.3;;151.3;134.7;153.0;176.7
2016;139.3;137.1;157.2;129.6;133.0;122.0;136.9;165.8;151.9;143.4;136.9;;136.4;126.2;145.5;186.8
2017;153.1;148.8;166.7;140.1;146.8;130.5;149.4;169.8;162.0;156.3;149.6;;149.0;134.8;151.1;181.6
2018;151.2;152.7;159.0;142.5;148.0;133.8;149.1;173.9;158.0;155.2;153.0;144.6;147.3;136.8;151.7;180.8
2019;153.4;153.1;160.3;142.3;149.4;133.6;145.9;170.8;157.3;157.5;149.1;145.3;148.8;139.2;148.9;183.7
2020;158.1;155.6;164.8;151.5;152.1;143.1;144.5;172.9;161.8;158.1;146.7;;150.9;146.3;152.9;187.3
2021;148.8;148.4;163.5;138.4;138.8;139.7;137.6;168.4;158.4;151.0;138.3;141.1;141.7;;153.3;189.0
2022;161.7;164.6;172.1;153.2;158.6;154.4;156.8;177.4;167.4;166.6;153.0;158.2;160.5;150.4;159.2;185.2
2023;147.7;150.9;163.9;;144.7;142.1;142.8;169.0;158.6;154.3;140.3;144.2;145.8;135.6;151.6;179.1
2024;135.7;138.1;148.2;128.7;134.8;129.9;128.1;159.4;142.8;140.8;130.4;132.3;137.0;125.0;144.0;175.7
