year,sector,deaths_total
2000,Appareil circulatoire,24904.0
2000,Appareil respiratoire,4625.0
2000,Cancer,15505.0
2000,Maladies infectieuses (sans COVID-19),713.0
2001,Appareil circulatoire,24133.0
2001,Appareil respiratoire,3730.0
2001,Cancer,15388.0
2001,Maladies infectieuses (sans COVID-19),650.0
2002,Appareil circulatoire,23736.0
2002,Appareil respiratoire,4062.0
2002,Cancer,15216.0
2002,Maladies infectieuses (sans COVID-19),627.0
2003,Appareil circulatoire,23892.0
2003,Appareil respiratoire,4144.0
2003,Cancer,15429.0
2003,Maladies infectieuses (sans COVID-19),675.0
2004,Appareil circulatoire,22448.0
2004,Appareil respiratoire,3848.0
2004,Cancer,15426.0
2004,Maladies infectieuses (sans COVID-19),595.0
2005,Appareil circulatoire,22860.0
2005,Appareil respiratoire,4271.0
2005,Cancer,15417.0
2005,Maladies infectieuses (sans COVID-19),574.0
2006,Appareil circulatoire,22391.0
2006,Appareil respiratoire,3685.0
2006,Cancer,15659.0
2006,Maladies infectieuses (sans COVID-19),623.0
2007,Appareil circulatoire,22612.0
2007,Appareil respiratoire,3733.0
2007,Cancer,16018.0
2007,Maladies infectieuses (sans COVID-19),639.0
2008,Appareil circulatoire,22321.0
2008,Appareil respiratoire,3641.0
2008,Cancer,15953.0
2008,Maladies infectieuses (sans COVID-19),677.0
2009,Appareil circulatoire,22228.0
2009,Appareil respiratoire,4091.0
2009,Cancer,16062.0
2009,Maladies infectieuses (sans COVID-19),676.0
2010,Appareil circulatoire,21959.0
2010,Appareil respiratoire,3726.0
2010,Cancer,16277.0
2010,Maladies infectieuses (sans COVID-19),714.0
2011,Appareil circulatoire,20964.0
2011,Appareil respiratoire,3733.0
2011,Cancer,16460.0
2011,Maladies infectieuses (sans COVID-19),775.0
2012,Appareil circulatoire,21674.0
2012,Appareil respiratoire,3906.0
2012,Cancer,16490.0
2012,Maladies infectieuses (sans COVID-19),752.0
2013,Appareil circulatoire,21512.0
2013,Appareil respiratoire,4116.0
2013,Cancer,16675.0
2013,Maladies infectieuses (sans COVID-19),767.0
2014,Appareil circulatoire,20972.0
2014,Appareil respiratoire,3834.0
2014,Cancer,16765.0
2014,Maladies infectieuses (sans COVID-19),752.0
2015,Appareil circulatoire,21593.0
2015,Appareil respiratoire,4614.0
2015,Cancer,17261.0
2015,Maladies infectieuses (sans COVID-19),828.0
2016,Appareil circulatoire,20712.0
2016,Appareil respiratoire,4108.0
2016,Cancer,17201.0
2016,Maladies infectieuses (sans COVID-19),752.0
2017,Appareil circulatoire,21042.0
2017,Appareil respiratoire,4649.0
2017,Cancer,17295.0
2017,Maladies infectieuses (sans COVID-19),806.0
2018,Appareil circulatoire,20596.0
2018,Appareil respiratoire,4623.0
2018,Cancer,17360.0
2018,Maladies infectieuses (sans COVID-19),806.0
2019,Appareil circulatoire,19901.0
2019,Appareil respiratoire,4561.0
2019,Cancer,17192.0
2019,Maladies infectieuses (sans COVID-19),814.0
2020,Appareil circulatoire,20511.0
2020,Appareil respiratoire,3757.0
2020,Cancer,16930.0
2020,Maladies infectieuses (sans COVID-19),837.0
