Décès,Variable,Corrélation,Force
death_pm25,pm10_immission_mean,0.976,FORTE
death_circulatoire,pm10_emission,0.954,FORTE
death_pm25,pm10_emission,0.888,FORTE
death_circulatoire,pm10_immission_mean,0.855,FORTE
death_cancer,med_cancer,0.773,FORTE
death_infectieux,med_cancer,0.72,FORTE
death_infectieux,rad_mean,0.646,Modérée
death_cancer,rad_mean,0.603,Modérée
death_cancer,med_respiratoire,0.564,Modérée
death_infectieux,med_respiratoire,0.516,Modérée
death_cancer,med_circulatoire,0.463,Modérée
death_cancer,med_infectieux,0.394,Faible
death_respiratoire,rad_mean,0.329,Faible
death_infectieux,med_circulatoire,0.309,Faible
death_respiratoire,med_infectieux,0.257,Faible
death_respiratoire,med_cancer,0.232,Faible
death_respiratoire,med_respiratoire,0.23,Faible
death_infectieux,med_infectieux,0.199,Faible
death_respiratoire,med_circulatoire,0.065,Faible
death_respiratoire,pm10_emission,-0.22,Faible
death_respiratoire,pm10_immission_mean,-0.248,Faible
death_pm25,med_infectieux,-0.335,Faible
death_pm25,med_circulatoire,-0.361,Faible
death_pm25,rad_mean,-0.425,Modérée
death_circulatoire,med_infectieux,-0.426,Modérée
death_circulatoire,med_circulatoire,-0.452,Modérée
death_pm25,med_respiratoire,-0.576,Modérée
death_circulatoire,rad_mean,-0.59,Modérée
death_circulatoire,med_respiratoire,-0.624,Modérée
death_pm25,med_cancer,-0.766,FORTE
death_infectieux,pm10_emission,-0.83,FORTE
death_infectieux,pm10_immission_mean,-0.84,FORTE
death_circulatoire,med_cancer,-0.861,FORTE
death_cancer,pm10_immission_mean,-0.925,FORTE
death_cancer,pm10_emission,-0.953,FORTE
