numero_autorisation,numero_dosage,denomination_medicament,titulaire_autorisation,categorie_medicament,numero_it,code_atc,date_premiere_autorisation,date_autorisation_dosage,duree_validite_amm,categorie_remise_dosage,categorie_remise_medicament,principes_actifs,champ_application_medicament,champ_application_dosage,indications_particulieres,cause_mortalite,annee
637,1,"Boostrix, Injektionssuspension",GlaxoSmithKline AG,Impfstoffe,08.08.,J07AJ52,2000-08-10,2000-08-10,unbegrenzt,B,B,"toxoidum diphtheriae, toxoidum tetani, toxoidum pertussis, haemagglutininum filamentosum, pertactinum","aktive Auffrischimpfung gegen Diphtherie, Tetanus und Pertussis, ab dem vollendeten 4. Lebensjahr",,,maladie_infectieuses,2000
640,1,"Infanrix hexa, Pulver und Suspension zur Herstellung einer Injektionssuspension",GlaxoSmithKline AG,Impfstoffe,08.08.,J07CA09,2000-10-02,2000-10-02,unbegrenzt,B,B,"toxoidum diphtheriae, toxoidum tetani, toxoidum pertussis, haemagglutininum filamentosum (B. pertussis), pertactinum (B. pertussis), virus poliomyelitis typus 1 inactivatus (Stamm Mahoney), virus poliomyelitis typus 2 inactivatus (Stamm MEF-1), virus poliomyelitis typus 3 inactivatus (Stamm Saukett), hepatitidis B viri antigenum ADNr, polysaccharida haemophili influenzae typus B 20752 conjugata cum toxoido tetani","Grundimmunisierung und Auffrischimpfung,  gegen Diphtherie, Tetanus, Pertussis, Hepatitis B, Poliomyelitis und Haemophilus influenzae Typ b, ab der vollendeten 6. Lebenswoche",,,maladie_infectieuses,2000
646,1,"Revaxis, suspension injectable",Sanofi-Aventis (Suisse) SA,Impfstoffe,08.08.,J07CA01,2000-08-10,2000-08-10,unbegrenzt,B,B,"toxoidum tetani, toxoidum diphtheriae, virus poliomyelitis typus 1 inactivatus, virus poliomyelitis typus 2 inactivatus, virus poliomyelitis typus 3 inactivatus","Immunisation active en rappel d'une immunisation de base contre la diphtérie, le tétanos et la poliomyélite dès 5 ans révolus",,,maladie_infectieuses,2000
52599,1,"ProHance 0.5 mmol/ml, soluzione iniettabile (siringa di iniezione preriempita)",Bracco Suisse SA,Synthetika,14.02.0.,V08CA04,2000-12-15,2000-12-15,unbegrenzt,B,B,gadoteridolum,Mezzo di contrasto per la TMR diagnostica del SNC,,,autre,2000
52756,1,"China Kirin Ginseng + Gelée Royale, Kapseln",Panax Import F. Ruckstuhl & Co.,Synthetika,07.98.0.,A13A,2000-04-10,2000-04-10,unbegrenzt,D,D,"ginseng extractum siccum, nutrimenta reginae apis cryodesiccata",Als Roborans,,,autre,2000
53373,1,"Dipeptiven, Konzentrat zur Herstellung einer Infusionslösung",Fresenius Kabi (Schweiz) AG,Synthetika,07.01.2.,B05XB02,2000-12-15,2000-12-15,unbegrenzt,B,B,"alaninum, glutaminum",Parenterale Ernährung,,,autre,2000
53431,1,"Pentasa 1g, Depot-Granulat",Ferring AG,Synthetika,04.09.0.,A07EC02,2000-06-28,2000-06-28,unbegrenzt,B,B,mesalazinum,Colitis ulcerosa,,,autre,2000
53431,2,"Pentasa 2g, Depot-Granulat",Ferring AG,Synthetika,04.09.0.,A07EC02,2000-06-28,2005-10-07,unbegrenzt,B,B,mesalazinum,Colitis ulcerosa,,,autre,2000
53479,2,"Crinone 8 %, Vaginalgel",Merck (Schweiz) AG,Synthetika,07.08.3.,G03DA04,2000-09-27,2000-09-27,unbegrenzt,B,B,progesteronum,Vaginalgel zur Behandlung von Progesterondefiziten,,,autre,2000
53571,1,"Morphin HCl 0,2 mg/ml Bichsel, Injektionslösung",Laboratorium Dr. G. Bichsel AG,Synthetika,01.01.3.,N02AA01,2000-05-08,2010-12-09,unbegrenzt,A+,A+,morphinum,Narkotisches Analgetikum,,,autre,2000
53571,2,"Morphin HCl 0,4 mg/ml Bichsel, Injektionslösung",Laboratorium Dr. G. Bichsel AG,Synthetika,01.01.3.,N02AA01,2000-05-08,2010-12-09,unbegrenzt,A+,A+,morphinum,Narkotisches Analgetikum,,,autre,2000
53571,4,"Morphin HCl 1 mg/ml Bichsel, Injektionslösung",Laboratorium Dr. G. Bichsel AG,Synthetika,01.01.3.,N02AA01,2000-05-08,2010-12-09,unbegrenzt,A+,A+,morphinum,Narkotisches Analgetikum,,,autre,2000
53571,5,"Morphin HCl 10 mg/ml Bichsel, Injektionslösung",Laboratorium Dr. G. Bichsel AG,Synthetika,01.01.3.,N02AA01,2000-05-08,2000-05-08,unbegrenzt,A+,A+,morphinum,Narkotisches Analgetikum,,,autre,2000
53571,6,"Morphin HCI 2 mg/ml Bichsel, Injektionslösung",Laboratorium Dr. G. Bichsel AG,Synthetika,01.01.3.,N02AA01,2000-05-08,2009-03-04,unbegrenzt,A+,A+,morphinum,Narkotisches Analgetikum,,,autre,2000
53644,1,"M-retard Zentiva 10 mg, Retardtabletten",Helvepharm AG,Synthetika,01.01.3.,N02AA01,2000-03-24,2000-03-24,unbegrenzt,A+,A+,morphinum,Analgetikum,,,autre,2000
53644,2,"M-retard Zentiva 30 mg, Retardtabletten",Helvepharm AG,Synthetika,01.01.3.,N02AA01,2000-03-24,2000-03-24,unbegrenzt,A+,A+,morphinum,Analgetikum,,,autre,2000
53644,3,"M-retard Zentiva 60 mg, Retardtabletten",Helvepharm AG,Synthetika,01.01.3.,N02AA01,2000-03-24,2000-03-24,unbegrenzt,A+,A+,morphinum,Analgetikum,,,autre,2000
53644,4,"M-retard Zentiva 100 mg, Retardtabletten",Helvepharm AG,Synthetika,01.01.3.,N02AA01,2000-03-24,2000-03-24,unbegrenzt,A+,A+,morphinum,Analgetikum,,,autre,2000
53644,5,"M-retard Zentiva 200 mg, Retardtabletten",Helvepharm AG,Synthetika,01.01.3.,N02AA01,2000-03-24,2000-03-24,unbegrenzt,A+,A+,morphinum,Analgetikum,,,autre,2000
