Cause,Variable,PC1,PC2
Circulatoire,death_circulatoire,-0.9393,-0.0745
Circulatoire,med_circulatoire,0.5656,-0.6792
Circulatoire,rad_mean,0.6719,-0.4332
Circulatoire,pm10_immission,-0.9456,-0.2481
Circulatoire,pm10_emission,-0.9819,-0.0791
Circulatoire,death_pm25,-0.912,-0.3212
Respiratoire,death_respiratoire,0.3798,-0.8461
Respiratoire,med_respiratoire,0.7842,-0.0322
Respiratoire,rad_mean,0.704,-0.3307
Respiratoire,pm10_immission,-0.9417,-0.2268
Respiratoire,pm10_emission,-0.9503,-0.1672
Respiratoire,death_pm25,-0.9097,-0.2276
Cancer,death_cancer,0.9565,0.0974
Cancer,med_cancer,0.9006,-0.2159
Cancer,rad_mean,0.6872,-0.7064
Cancer,pm10_immission,-0.9531,-0.2707
Cancer,pm10_emission,-0.9765,-0.0324
Cancer,death_pm25,-0.9266,-0.3206
Infectieux,death_infectieux,0.9001,0.2542
Infectieux,med_infectieux,0.4588,-0.8725
Infectieux,rad_mean,0.6867,-0.132
Infectieux,pm10_immission,-0.957,-0.0969
Infectieux,pm10_emission,-0.9646,-0.0379
Infectieux,death_pm25,-0.9242,-0.1437
